GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
itf-maven-plugin/itf-extension-maven,com.soebes.itf.jupiter.maven,ProjectHelper,14,18,0,0,4,4,0,2,0,2
itf-maven-plugin/itf-extension-maven,com.soebes.itf.jupiter.maven,MavenProjectResult,12,21,0,0,4,8,4,2,4,2
itf-maven-plugin/itf-extension-maven,com.soebes.itf.jupiter.maven,MavenExecutionResult.ExecutionResult,0,34,0,0,0,4,0,1,0,1
itf-maven-plugin/itf-extension-maven,com.soebes.itf.jupiter.maven,MavenLog,3,12,0,0,1,5,1,2,1,2
itf-maven-plugin/itf-extension-maven,com.soebes.itf.jupiter.maven,Projects,9,0,0,0,4,0,2,0,2,0
itf-maven-plugin/itf-extension-maven,com.soebes.itf.jupiter.maven,MavenExecutor,36,0,0,0,6,0,3,0,3,0
itf-maven-plugin/itf-extension-maven,com.soebes.itf.jupiter.maven,MavenCacheResult,3,6,0,0,1,3,1,1,1,1
itf-maven-plugin/itf-extension-maven,com.soebes.itf.jupiter.maven,MavenExecutionResult,93,26,0,0,13,9,8,3,8,3
