GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
itf-assertj,com.soebes.itf.extension.assertj,Helper,7,28,0,0,2,5,0,6,0,6
itf-assertj,com.soebes.itf.extension.assertj,LogAssert,89,7,0,0,17,3,9,2,9,2
itf-assertj,com.soebes.itf.extension.assertj,MavenITAssertions,20,0,0,0,4,0,4,0,4,0
itf-assertj,com.soebes.itf.extension.assertj,LogClass,9,0,0,0,4,0,2,0,2,0
itf-assertj,com.soebes.itf.extension.assertj,MavenExecutionResultAssert,175,7,4,0,21,3,11,2,9,2
itf-assertj,com.soebes.itf.extension.assertj,MavenLogAssert,0,96,0,0,0,20,0,11,0,11
itf-assertj,com.soebes.itf.extension.assertj,ArchiveAssert,141,92,0,0,32,14,6,4,6,4
itf-assertj,com.soebes.itf.extension.assertj,MavenCacheResultAssert,5,7,0,0,1,3,1,2,1,2
itf-assertj,com.soebes.itf.extension.assertj,MavenProjectResultAssert,614,10,50,0,88,4,44,2,19,2
